firstname, surname, year, category, motivation, country
G�nter,Blobel,1999,medicine,"for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell",USA
G�nter,Blobel,1999,medicine,"for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell",No data.
William C.,Campbell,2015,medicine,"for their discoveries concerning a novel therapy against infections caused by roundworm parasites",USA
,,2015,medicine,"for their discoveries concerning a novel therapy against infections caused by roundworm parasites",Japan
Andr_,Lwoff,1965,medicine,"for their discoveries concerning genetic control of enzyme and virus synthesis",France
Jacques,Monod,1965,medicine,"for their discoveries concerning genetic control of enzyme and virus synthesis",France
Fran�ois,Jacob,1965,medicine,"for their discoveries concerning genetic control of enzyme and virus synthesis",France
Sydney,Brenner,2002,medicine,"for their discoveries concerning genetic regulation of organ development and programmed cell death'",USA
John E.,Sulston,2002,medicine,"for their discoveries concerning genetic regulation of organ development and programmed cell death'",Kingdom
H. Robert,Horvitz,2002,medicine,"for their discoveries concerning genetic regulation of organ development and programmed cell death'",USA
George D.,Snell,1980,medicine,"for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions",USA
Baruj,Benacerraf,1980,medicine,"for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions",USA
Jean,Dausset,1980,medicine,"for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions",France
Werner,Forssmann,1956,medicine,"for their discoveries concerning heart catheterization and pathological changes in the circulatory system",Germany
Werner,Forssmann,1956,medicine,"for their discoveries concerning heart catheterization and pathological changes in the circulatory system",Germany
Andr_ Fr_d_ric,Cournand,1956,medicine,"for their discoveries concerning heart catheterization and pathological changes in the circulatory system",USA
Dickinson W.,Richards,1956,medicine,"for their discoveries concerning heart catheterization and pathological changes in the circulatory system",USA
Torsten N.,Wiesel,1981,medicine,"for their discoveries concerning information processing in the visual system",USA
David H.,Hubel,1981,medicine,"for their discoveries concerning information processing in the visual system",USA
William Parry,Murphy,1934,medicine,"for their discoveries concerning liver therapy in cases of anaemia",USA
George Richards,Minot,1934,medicine,"for their discoveries concerning liver therapy in cases of anaemia",USA
William Parry,Murphy,1934,medicine,"for their discoveries concerning liver therapy in cases of anaemia",USA
George Hoyt,Whipple,1934,medicine,"for their discoveries concerning liver therapy in cases of anaemia",USA
Sir Peter,Mansfield,2003,medicine,"for their discoveries concerning magnetic resonance imaging",Kingdom
Paul C.,Lauterbur,2003,medicine,"for their discoveries concerning magnetic resonance imaging",USA
D. Carleton,Gajdusek,1976,medicine,"for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases",USA
Baruch S.,Blumberg,1976,medicine,"for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases",USA
Robert F.,Furchgott,1998,medicine,"for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system",USA
Ferid,Murad,1998,medicine,"for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system",USA
Louis J.,Ignarro,1998,medicine,"for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system",USA
Joseph E.,Murray,1990,medicine,"for their discoveries concerning organ and cell transplantation in the treatment of human disease",USA
E. Donnall,Thomas,1990,medicine,"for their discoveries concerning organ and cell transplantation in the treatment of human disease",USA
Konrad,Lorenz,1973,medicine,"for their discoveries concerning organization and elicitation of individual and social behaviour patterns",Austria
Karl,von Frisch,1973,medicine,"for their discoveries concerning organization and elicitation of individual and social behaviour patterns",Germany
Nikolaas,Tinbergen,1973,medicine,"for their discoveries concerning organization and elicitation of individual and social behaviour patterns",Kingdom
